Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
UX Researcher,35703,5,PhD,0.96,0.6,0.31,Medium,0.16,1.0,0.18,0.5,0.85,0.02,0.6,0.28,0.86,0.28
Data Scientist,110146,21,PhD,0.67,0.72,0.31,Medium,0.41,0.29,0.81,0.8,0.46,0.61,0.6,0.83,0.43,0.28
Software Engineer,117052,8,PhD,0.54,0.95,0.48,Medium,0.09,0.72,0.21,0.2,0.41,0.23,0.58,0.37,0.45,0.54
Software Engineer,51182,8,High School,0.05,1.44,0.51,Medium,0.33,0.16,0.34,0.02,0.36,0.53,0.87,0.69,0.11,0.15
UX Researcher,127841,1,PhD,0.2,0.53,0.62,Medium,0.02,0.83,0.14,0.97,0.6,0.73,0.11,0.86,0.84,0.65
Software Engineer,73271,9,Bachelor's,0.31,0.61,0.64,Medium,1.0,0.29,0.36,0.94,0.71,0.3,0.58,0.94,0.81,0.74
Data Scientist,33841,28,High School,0.47,1.16,0.66,Medium,0.39,0.96,0.42,0.6,0.71,0.95,0.24,0.75,0.52,0.27
Data Scientist,141789,27,Bachelor's,0.55,1.16,0.43,Medium,0.48,0.62,0.4,0.2,0.96,0.51,0.73,0.41,0.36,0.41
UX Researcher,50754,13,High School,0.37,1.46,0.63,Medium,0.85,0.17,0.27,0.29,0.27,0.86,0.03,0.08,0.27,0.2
UX Researcher,118110,3,Master's,0.02,1.43,0.62,Medium,0.84,0.09,0.74,0.96,0.68,0.57,0.95,0.44,0.6,0.48
UX Researcher,144300,13,PhD,0.27,1.03,0.63,Medium,0.4,0.72,0.88,0.22,0.81,0.76,0.36,0.99,0.26,0.25
Data Scientist,87410,12,Bachelor's,0.46,1.05,0.68,Medium,1.0,0.24,0.73,0.38,0.01,0.01,0.46,0.49,0.02,0.69
Data Scientist,148362,2,Master's,0.56,0.8,0.37,Medium,0.41,0.23,0.53,0.2,0.51,0.16,0.67,0.75,0.11,0.47
Software Engineer,72460,12,Master's,0.6,0.76,0.51,Medium,0.52,0.92,0.55,0.58,0.4,0.95,0.78,0.29,0.84,0.43
UX Researcher,54524,17,High School,0.42,0.57,0.5,Medium,0.46,0.77,0.66,0.45,0.22,0.73,0.71,0.15,0.91,0.06
UX Researcher,92345,23,Bachelor's,0.19,1.41,0.51,Medium,0.79,0.23,0.49,0.36,0.83,0.02,0.24,0.15,0.86,0.47
AI Engineer,138347,21,Bachelor's,0.78,0.96,0.22,Low,0.39,0.16,0.4,0.58,0.95,0.07,0.51,0.33,0.51,0.02
Software Engineer,89300,11,High School,0.04,0.93,0.32,Medium,0.1,0.66,0.65,0.03,0.0,0.08,0.76,0.58,0.04,0.49
Data Scientist,131971,5,Bachelor's,0.87,1.43,0.43,Medium,0.14,0.24,0.78,0.97,0.47,0.31,0.43,0.3,0.26,0.59
UX Researcher,48715,17,Master's,0.73,0.6,0.59,Medium,0.68,0.83,0.04,0.02,0.37,0.15,0.56,0.92,0.39,0.84
Software Engineer,40196,16,High School,0.6,1.11,0.51,Medium,0.09,0.45,1.0,0.84,0.89,0.82,0.1,0.23,0.0,0.3
UX Researcher,123249,23,Master's,0.49,1.07,0.59,Medium,0.11,0.75,0.14,0.07,0.98,0.96,0.06,0.44,0.19,0.49
AI Engineer,142109,8,Bachelor's,0.94,0.87,0.06,Low,0.76,0.7,0.6,0.49,0.03,0.62,0.42,0.56,0.43,0.97
UX Researcher,87737,25,Master's,0.75,1.44,0.54,Medium,0.01,0.03,0.7,0.28,0.58,0.2,0.27,0.5,0.98,0.62
AI Engineer,141654,27,High School,0.64,1.39,0.27,Low,0.7,0.47,0.51,0.14,0.34,0.19,0.82,0.91,0.54,0.73
UX Researcher,50662,20,High School,0.61,1.2,0.48,Medium,0.24,0.88,0.74,0.9,0.82,0.99,0.19,0.09,0.34,0.13
Software Engineer,116755,1,Bachelor's,0.44,0.56,0.69,Medium,0.59,0.56,0.66,0.5,0.03,0.61,0.72,0.42,0.76,0.23
Data Scientist,133719,6,High School,0.16,0.87,0.64,Medium,0.83,0.38,0.59,0.72,0.24,0.17,0.97,0.62,0.98,0.34
UX Researcher,91404,6,Master's,0.83,0.91,0.51,Medium,0.03,0.67,0.4,0.45,0.87,0.46,0.02,0.23,0.48,0.42
Data Scientist,133587,16,Bachelor's,0.43,0.99,0.67,Medium,0.52,0.49,0.58,0.69,0.11,0.82,0.44,0.07,0.79,0.38
AI Engineer,133080,14,Bachelor's,0.13,1.09,0.21,Low,0.05,0.24,0.8,0.05,0.86,0.66,0.43,0.35,0.02,0.83
Data Scientist,50758,26,Bachelor's,0.79,0.72,0.33,Medium,0.53,0.06,0.77,0.72,0.88,0.64,0.07,0.25,0.81,0.17
AI Engineer,133613,11,PhD,0.71,1.37,0.06,Low,0.57,0.85,0.4,0.3,0.8,0.34,0.0,0.96,0.59,0.82
Software Engineer,115642,19,PhD,0.22,0.7,0.37,Medium,0.78,0.23,0.53,0.45,0.58,0.88,0.87,0.45,0.02,0.43
UX Researcher,68669,17,Master's,0.49,1.36,0.34,Medium,0.45,0.29,0.1,0.76,0.51,0.56,0.41,0.46,0.12,0.67
Software Engineer,136081,29,High School,0.84,0.98,0.51,Medium,0.3,0.49,0.13,0.96,0.8,0.67,0.54,0.79,0.49,0.3
Software Engineer,48728,11,Bachelor's,0.65,1.43,0.36,Medium,0.18,0.43,0.81,0.29,0.25,0.62,0.54,0.06,0.08,0.64
Data Scientist,119363,1,PhD,0.35,1.39,0.37,Medium,0.15,0.58,0.66,0.19,0.39,0.95,0.25,0.67,0.74,0.45
AI Engineer,33692,25,High School,0.73,1.3,0.29,Low,0.61,0.25,0.92,0.78,0.57,0.7,0.92,0.71,0.37,0.71
Software Engineer,80075,22,Bachelor's,0.65,1.45,0.62,Medium,0.04,0.33,0.47,0.31,0.7,0.83,0.73,0.99,0.27,0.87
AI Engineer,135899,24,Bachelor's,0.53,1.25,0.16,Low,0.75,0.2,0.37,0.63,0.02,0.72,0.84,0.4,0.45,0.85
UX Researcher,54940,26,Master's,0.06,0.55,0.47,Medium,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01
Software Engineer,144326,14,PhD,0.39,0.8,0.56,Medium,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59
Software Engineer,49359,26,Bachelor's,0.9,0.77,0.41,Medium,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15
UX Researcher,98354,16,High School,0.84,0.53,0.63,Medium,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4
Data Scientist,93766,10,PhD,0.0,1.43,0.44,Medium,0.4,0.17,0.38,0.8,0.8,0.94,0.4,0.71,0.51,0.8
AI Engineer,75986,27,PhD,0.5,0.52,0.14,Low,0.74,0.51,0.24,0.34,0.86,0.53,0.53,0.96,0.32,0.48
AI Engineer,36473,18,Bachelor's,0.58,0.57,0.09,Low,0.89,0.61,0.95,1.0,0.37,0.3,0.86,1.0,0.63,0.8
Data Scientist,107593,25,Master's,0.86,0.99,0.53,Medium,0.57,0.41,0.19,0.75,0.13,0.1,0.71,0.21,0.31,0.48
Software Engineer,91743,6,Bachelor's,0.11,1.03,0.64,Medium,0.74,0.22,0.4,0.51,0.81,0.84,0.91,0.51,0.69,0.11
Data Scientist,52380,16,PhD,0.01,1.49,0.37,Medium,0.47,0.87,0.23,0.48,0.13,0.4,0.18,0.36,0.37,0.99
UX Researcher,32035,15,Master's,0.31,1.42,0.56,Medium,0.44,0.79,0.82,0.29,0.34,0.94,0.16,0.04,0.45,0.8
Data Scientist,59974,11,Master's,0.15,1.39,0.41,Medium,0.14,0.12,0.7,0.01,0.47,0.12,0.85,0.96,0.96,0.44
Software Engineer,66476,11,Master's,0.4,1.46,0.7,Medium,0.73,0.23,0.1,0.41,0.86,0.72,0.88,0.62,0.13,0.11
Software Engineer,82271,11,PhD,0.24,1.23,0.57,Medium,0.32,0.18,0.1,0.74,0.45,0.32,0.86,0.59,0.52,0.74
Software Engineer,132859,26,Master's,0.16,0.64,0.54,Medium,0.9,0.79,0.55,0.42,0.62,0.44,0.25,0.68,0.87,0.37
AI Engineer,99810,10,High School,0.43,0.9,0.06,Low,0.7,0.81,0.66,0.15,0.1,0.57,0.4,0.43,0.97,0.72
UX Researcher,90360,6,Master's,0.02,0.53,0.57,Medium,0.84,0.71,0.41,0.03,0.97,0.99,0.55,0.07,0.54,0.89
